s,p,o
odang_person_317650,message,164
169,refersTo,odang_person_406526
odang_person_406526,label_it,Tamar Tal
odang_person_406526,P106,Q2526255
odang_person_406526,P166,Q17560574
odang_person_406526,P21,Q6581072
odang_person_406526,P27,Q801
odang_person_406526,P569,1980
odang_person_406526,message,169
71,refersTo,odang_person_2537612
odang_person_2537612,label_it,Franco Tramazzino
odang_person_2537612,P106,Q329439
odang_person_2537612,P21,Q6581097
odang_person_2537612,P569,1526
odang_person_2537612,message,71
198,refersTo,odang_person_8666744
odang_person_8666744,label_it,Antoine Haumont
odang_person_8666744,P106,Q901402
odang_person_8666744,P119,Q272208
odang_person_8666744,P1412,Q150
odang_person_8666744,P19,Q238723
odang_person_8666744,P20,Q191066
odang_person_8666744,P21,Q6581097
odang_person_8666744,P26,Q107286036
odang_person_8666744,P27,Q142
odang_person_8666744,P569,1935
odang_person_8666744,message,198
169,refersTo,odang_person_3756446
odang_person_3756446,label_it,Henrik Widmark
odang_person_3756446,P106,Q212238
odang_person_3756446,P19,Q25579
odang_person_3756446,P20,Q1754
odang_person_3756446,P21,Q6581097
odang_person_3756446,P27,Q34
odang_person_3756446,P3373,Q19977252
odang_person_3756446,P39,Q6621850
odang_person_3756446,P40,Q6240354
odang_person_3756446,P569,1800
odang_person_3756446,message,169
196,refersTo,odang_person_4798812
odang_person_4798812,label_it,Sebastian Andersson
odang_person_4798812,P106,Q937857
odang_person_4798812,P19,Q54755
odang_person_4798812,P21,Q6581097
odang_person_4798812,P27,Q34
odang_person_4798812,P569,1991
odang_person_4798812,message,196
1,refersTo,odang_person_3644488
odang_person_3644488,label_it,Arash Talebinejad
odang_person_3644488,P106,Q937857
odang_person_3644488,P19,Q154814
odang_person_3644488,P21,Q6581097
odang_person_3644488,P27,Q34
odang_person_3644488,P569,1981
odang_person_3644488,message,1
194,refersTo,odang_person_2828680
odang_person_2828680,label_it,Penina Meizlish
odang_person_2828680,P106,Q201788
odang_person_2828680,P108,Q1124657
odang_person_2828680,P166,Q31197500
odang_person_2828680,P19,Q1218
odang_person_2828680,P21,Q6581072
odang_person_2828680,P27,Q801
odang_person_2828680,message,194
60,refersTo,odang_person_8376471
odang_person_8376471,label_it,Maria Elisabeth Hesselblad
odang_person_8376471,P106,Q186360
odang_person_8376471,P166,Q112197
odang_person_8376471,P19,Q2471849
odang_person_8376471,P20,Q220
odang_person_8376471,P21,Q6581072
odang_person_8376471,P27,Q34
odang_person_8376471,P569,1870
odang_person_8376471,P611,Q952578
odang_person_8376471,message,60
83,refersTo,odang_person_8297484
odang_person_8297484,label_it,Frederick Albert Clark
odang_person_8297484,P106,Q1028181
odang_person_8297484,P21,Q6581097
odang_person_8297484,P27,Q145
odang_person_8297484,P569,1869
odang_person_8297484,message,83
43,refersTo,odang_person_2461446
odang_person_2461446,label_it,Steffen Engelmohr
odang_person_2461446,P106,Q937857
odang_person_2461446,P1412,Q188
odang_person_2461446,P21,Q6581097
odang_person_2461446,P27,Q183
odang_person_2461446,P569,1941
odang_person_2461446,message,43
69,refersTo,odang_person_6073368
odang_person_6073368,label_it,Artëm Kuzjakin
odang_person_6073368,P106,Q3665646
odang_person_6073368,P1412,Q7737
odang_person_6073368,P19,Q656
odang_person_6073368,P21,Q6581097
odang_person_6073368,P26,Q56191949
odang_person_6073368,P27,Q159
odang_person_6073368,P569,1980
odang_person_6073368,message,69
9,refersTo,odang_person_2336781
odang_person_2336781,label_it,Þórunn Elísabet Sveinsdóttir
odang_person_2336781,P106,Q1323191
odang_person_2336781,P21,Q6581072
odang_person_2336781,message,9
155,refersTo,odang_person_2574495
odang_person_2574495,label_it,Sālim Ālūsī
odang_person_2574495,P106,Q201788
odang_person_2574495,P1412,Q13955
odang_person_2574495,P21,Q6581097
odang_person_2574495,P569,1925
odang_person_2574495,message,155
201,refersTo,odang_person_8352069
odang_person_8352069,label_it,Marius Bernard
odang_person_8352069,P21,Q6581097
odang_person_8352069,P569,1847
odang_person_8352069,message,201
170,refersTo,odang_person_7497749
odang_person_7497749,label_it,Ronald Preston
odang_person_7497749,P106,Q1234713
odang_person_7497749,P21,Q6581097
odang_person_7497749,P569,1913
odang_person_7497749,message,170
131,refersTo,odang_person_6032315
odang_person_6032315,label_it,Manfred Bosch
odang_person_6032315,P106,Q482980
odang_person_6032315,P1412,Q188
odang_person_6032315,P166,Q445673
odang_person_6032315,P19,Q82770
odang_person_6032315,P21,Q6581097
odang_person_6032315,P27,Q183
odang_person_6032315,P569,1947
odang_person_6032315,message,131
32,refersTo,odang_person_9531791
odang_person_9531791,label_it,MANUEL ABAD
odang_person_9531791,message,32
106,refersTo,odang_person_2247329
odang_person_2247329,label_it,Safaras Amiršojevas
odang_person_2247329,P21,Q6581097
odang_person_2247329,P569,1912
odang_person_2247329,message,106
146,refersTo,odang_person_4974765
odang_person_4974765,label_it,Saveneca Taga
odang_person_4974765,P106,Q14373094
odang_person_4974765,P19,Q712
odang_person_4974765,P21,Q6581097
odang_person_4974765,message,146
61,refersTo,odang_person_1228159
odang_person_1228159,label_it,Richard E. Cunha
odang_person_1228159,P106,Q222344
odang_person_1228159,P1412,Q1860
odang_person_1228159,P19,Q18094
odang_person_1228159,P20,Q488924
odang_person_1228159,P21,Q6581097
odang_person_1228159,P27,Q30
odang_person_1228159,P569,1922
odang_person_1228159,message,61
154,refersTo,odang_person_7169060
odang_person_7169060,label_it,Mose ben Isaak Münz
odang_person_7169060,P106,Q133485
odang_person_7169060,P1412,Q188
odang_person_7169060,P21,Q6581097
odang_person_7169060,P27,Q183
odang_person_7169060,P569,1420
odang_person_7169060,message,154
13,refersTo,odang_person_6311936
odang_person_6311936,label_it,James Johnson
odang_person_6311936,P106,Q4009406
odang_person_6311936,P21,Q6581097
odang_person_6311936,P27,Q30
odang_person_6311936,P569,1901
odang_person_6311936,message,13
144,refersTo,odang_person_4861315
odang_person_4861315,label_it,Dominique Page
odang_person_4861315,P103,Q150
odang_person_4861315,P106,Q10800557
odang_person_4861315,P1412,Q150
odang_person_4861315,P19,Q90
odang_person_4861315,P21,Q6581072
odang_person_4861315,P27,Q142
odang_person_4861315,P569,1933
odang_person_4861315,message,144
154,refersTo,odang_person_3728697
odang_person_3728697,label_it,Elliott Cresson
odang_person_3728697,P119,Q7775731
odang_person_3728697,P19,Q1345
odang_person_3728697,P20,Q1345
odang_person_3728697,P21,Q6581097
odang_person_3728697,P27,Q30
odang_person_3728697,P463,Q339484
odang_person_3728697,P551,Q1345
odang_person_3728697,P569,1796
odang_person_3728697,message,154
143,refersTo,odang_person_286265
odang_person_286265,label_it,Jennifer Weist
odang_person_286265,P106,Q177220
odang_person_286265,P1412,Q188
odang_person_286265,P19,Q3255
odang_person_286265,P21,Q6581072
odang_person_286265,P27,Q183
odang_person_286265,P463,Q163454
odang_person_286265,P569,1986
odang_person_286265,P937,Q64
odang_person_286265,message,143
5,refersTo,odang_person_311666
odang_person_311666,label_it,Meshari Suroor Saad
odang_person_311666,P106,Q11513337
odang_person_311666,P21,Q6581097
odang_person_311666,P27,Q817
odang_person_311666,P569,1987
odang_person_311666,message,5
33,refersTo,odang_person_1287429
odang_person_1287429,label_it,Joseph Gullung
odang_person_1287429,P103,Q150
odang_person_1287429,P106,Q82955
odang_person_1287429,P1412,Q150
odang_person_1287429,P20,Q79815
odang_person_1287429,P21,Q6581097
odang_person_1287429,P27,Q142
odang_person_1287429,P39,Q3044918
odang_person_1287429,P569,1892
odang_person_1287429,P937,Q90
odang_person_1287429,message,33
122,refersTo,odang_person_5989677
odang_person_5989677,label_it,Andrėj Stas'
odang_person_5989677,P106,Q11774891
odang_person_5989677,P19,Q2280
odang_person_5989677,P21,Q6581097
odang_person_5989677,P27,Q184
odang_person_5989677,P569,1988
odang_person_5989677,message,122
65,refersTo,odang_person_4880407
odang_person_4880407,label_it,Claudio Bertoni
odang_person_4880407,P106,Q33999
odang_person_4880407,P1412,Q652
odang_person_4880407,P19,Q490
odang_person_4880407,P21,Q6581097
odang_person_4880407,P27,Q38
odang_person_4880407,P569,1961
odang_person_4880407,message,65
45,refersTo,odang_person_8376934
odang_person_8376934,label_it,Silke Lichtenhagen
odang_person_8376934,P106,Q11513337
odang_person_8376934,P1412,Q188
odang_person_8376934,P19,Q2938
odang_person_8376934,P21,Q6581072
odang_person_8376934,P27,Q183
odang_person_8376934,P569,1973
odang_person_8376934,message,45
105,refersTo,odang_person_7484754
odang_person_7484754,label_it,Cory Jefferson
odang_person_7484754,P103,Q1860
odang_person_7484754,P106,Q3665646
odang_person_7484754,P19,Q199797
odang_person_7484754,P21,Q6581097
odang_person_7484754,P27,Q30
odang_person_7484754,P569,1990
odang_person_7484754,message,105
172,refersTo,odang_person_7481032
odang_person_7481032,label_it,Barthélémy Victor Rantonnet
odang_person_7481032,P106,Q3140857
odang_person_7481032,P1412,Q150
odang_person_7481032,P19,Q456
odang_person_7481032,P20,Q192574
odang_person_7481032,P21,Q6581097
odang_person_7481032,P27,Q142
odang_person_7481032,P569,1797
odang_person_7481032,message,172
148,refersTo,odang_person_5994444
odang_person_5994444,label_it,Thomas Madiou
odang_person_5994444,P106,Q201788
odang_person_5994444,P1412,Q150
odang_person_5994444,P19,Q34261
odang_person_5994444,P20,Q34261
odang_person_5994444,P21,Q6581097
odang_person_5994444,P27,Q790
odang_person_5994444,P39,Q3251913
odang_person_5994444,P569,1814
odang_person_5994444,P6886,Q150
odang_person_5994444,message,148
175,refersTo,odang_person_1232575
odang_person_1232575,label_it,Christian Kracht
odang_person_1232575,P106,Q1930187
odang_person_1232575,P1412,Q188
odang_person_1232575,P19,Q1055
odang_person_1232575,P20,Q71
odang_person_1232575,P21,Q6581097
odang_person_1232575,P27,Q183
odang_person_1232575,P40,Q123242
odang_person_1232575,P569,1922
odang_person_1232575,message,175
47,refersTo,odang_person_7193636
odang_person_7193636,label_it,Balfour Stewart
odang_person_7193636,P106,Q169470
odang_person_7193636,P108,Q230899
odang_person_7193636,P1412,Q1860
odang_person_7193636,P166,Q15631401
odang_person_7193636,P172,Q181634
odang_person_7193636,P184,Q1356328
odang_person_7193636,P19,Q23436
odang_person_7193636,P20,Q207223
odang_person_7193636,P21,Q6581097
odang_person_7193636,P27,Q174193
odang_person_7193636,P463,Q123885
odang_person_7193636,P551,Q22
odang_person_7193636,P569,1828
odang_person_7193636,P6886,Q1860
odang_person_7193636,message,47
54,refersTo,odang_person_3617135
odang_person_3617135,label_it,Jack Harvey
odang_person_3617135,P106,Q10349745
odang_person_3617135,P1412,Q1860
odang_person_3617135,P19,Q927842
odang_person_3617135,P21,Q6581097
odang_person_3617135,P27,Q145
odang_person_3617135,P569,1993
odang_person_3617135,message,54
97,refersTo,odang_person_242847
odang_person_242847,label_it,John Edwards
odang_person_242847,P106,Q2374149
odang_person_242847,P1412,Q1860
odang_person_242847,P21,Q6581097
odang_person_242847,P27,Q21
odang_person_242847,P551,Q21
odang_person_242847,P569,1742
odang_person_242847,message,97
23,refersTo,odang_person_8069863
odang_person_8069863,label_it,Noël Barré
odang_person_8069863,P21,Q6581097
odang_person_8069863,P569,1929
odang_person_8069863,message,23
201,refersTo,odang_person_2406614
odang_person_2406614,label_it,James Francis Byrnes
odang_person_2406614,P102,Q29552
odang_person_2406614,P106,Q82955
odang_person_2406614,P119,Q1456
odang_person_2406614,P1412,Q1860
odang_person_2406614,P19,Q47716
odang_person_2406614,P20,Q38453
odang_person_2406614,P21,Q6581097
odang_person_2406614,P26,Q108880603
odang_person_2406614,P27,Q30
odang_person_2406614,P39,Q13218630
odang_person_2406614,P569,1882
odang_person_2406614,P6886,Q1860
odang_person_2406614,P937,Q61
odang_person_2406614,message,201
53,refersTo,odang_person_2678218
odang_person_2678218,label_it,Cristoforo Genna
odang_person_2678218,P103,Q652
odang_person_2678218,P106,Q4594605
odang_person_2678218,P1412,Q652
odang_person_2678218,P19,Q13664
odang_person_2678218,P20,Q13664
odang_person_2678218,P21,Q6581097
odang_person_2678218,P27,Q38
odang_person_2678218,message,53
52,refersTo,odang_person_8661228
odang_person_8661228,label_it,Masato Otomo
odang_person_8661228,P106,Q937857
odang_person_8661228,P19,Q127513
odang_person_8661228,P21,Q6581097
odang_person_8661228,P27,Q17
odang_person_8661228,P569,1961
odang_person_8661228,message,52
127,refersTo,odang_person_6582616
odang_person_6582616,label_it,Ronan Loaëc
odang_person_6582616,P106,Q33231
odang_person_6582616,P1412,Q150
odang_person_6582616,P21,Q6581097
odang_person_6582616,P27,Q142
odang_person_6582616,message,127
194,refersTo,odang_person_1246751
odang_person_1246751,label_it,Uwe Morawe
odang_person_1246751,P106,Q1366909
odang_person_1246751,P1412,Q188
odang_person_1246751,P19,Q24879
odang_person_1246751,P21,Q6581097
odang_person_1246751,P27,Q183
odang_person_1246751,P569,1966
odang_person_1246751,message,194
174,refersTo,odang_person_8176197
odang_person_8176197,label_it,Léopold De Koninck
odang_person_8176197,P106,Q47064
odang_person_8176197,P1412,Q100103
odang_person_8176197,P166,Q17200661
odang_person_8176197,P19,Q2133674
odang_person_8176197,P20,Q237674
odang_person_8176197,P21,Q6581097
odang_person_8176197,P27,Q31
odang_person_8176197,P39,Q132050
odang_person_8176197,P569,1874
odang_person_8176197,message,174
118,refersTo,odang_person_5556272
odang_person_5556272,label_it,Andrea Gartner
odang_person_5556272,P106,Q13382608
odang_person_5556272,P1412,Q652
odang_person_5556272,P19,Q53381
odang_person_5556272,P21,Q6581097
odang_person_5556272,P27,Q38
odang_person_5556272,P569,2002
odang_person_5556272,message,118
157,refersTo,odang_person_2433687
odang_person_2433687,label_it,Emmanuel Gambardella
odang_person_2433687,P106,Q937857
odang_person_2433687,P119,Q2972633
odang_person_2433687,P1412,Q150
odang_person_2433687,P166,Q10855271
odang_person_2433687,P19,Q191141
odang_person_2433687,P20,Q6441
odang_person_2433687,P21,Q6581097
odang_person_2433687,P27,Q142
odang_person_2433687,P39,Q30461
odang_person_2433687,P569,1888
odang_person_2433687,message,157
84,refersTo,odang_person_6570652
odang_person_6570652,label_it,Giuseppe Morgante
odang_person_6570652,P106,Q1650915
odang_person_6570652,P108,Q1245999
odang_person_6570652,P21,Q6581097
odang_person_6570652,message,84
153,refersTo,odang_person_7848123
odang_person_7848123,label_it,Johannes Christian Hartmann
odang_person_7848123,P106,Q212071
odang_person_7848123,P21,Q6581097
odang_person_7848123,P569,1740
odang_person_7848123,message,153
147,refersTo,odang_person_4208940
odang_person_4208940,label_it,Percy Frederick Holmes
odang_person_4208940,P21,Q6581097
odang_person_4208940,P569,1859
odang_person_4208940,message,147
114,refersTo,odang_person_4913135
odang_person_4913135,label_it,Chris Sanders
odang_person_4913135,P106,Q19204627
odang_person_4913135,P19,Q16559
odang_person_4913135,P21,Q6581097
odang_person_4913135,P27,Q30
odang_person_4913135,P569,1973
odang_person_4913135,message,114
171,refersTo,odang_person_4182739
odang_person_4182739,label_it,Alexander Theodorus de Leeuw Jongkindt
odang_person_4182739,P106,Q33231
odang_person_4182739,P19,Q36600
odang_person_4182739,P20,Q36600
odang_person_4182739,P21,Q6581097
odang_person_4182739,P27,Q29999
odang_person_4182739,P569,1875
odang_person_4182739,P937,Q2766547
odang_person_4182739,message,171
17,refersTo,odang_person_549251
odang_person_549251,label_it,Karl Jais
odang_person_549251,P106,Q152002
odang_person_549251,P21,Q6581097
odang_person_549251,P569,1775
odang_person_549251,message,17
8,refersTo,odang_person_7710442
