mention,wp_title,cosine
Davigo,Piercamillo Davigo,0.80757165
Davigo,Ottorino Davighi,0.79583824
Davigo,Gherardo Colombo,0.88833207
Davigo,Antonio Di Pietro,0.79934734
Davos,Klaus Schwab,0.8203732
Davos,Ernst Ludwig Kirchner,0.8039696
Davos,Greta Thunberg,0.8213526
De Donno,Giuseppe De Donno,0.9237526
De Donno,Marcello De Donno,0.90969175
De Donno,Giuliana De Donno,0.91182995
De Donno,Oronzio De Donno,0.897619
De Donno,Leoluca Bagarella,0.83857715
De Donno,Leonardo Donno,0.86926806
De Donno,Paolo Borsellino,0.82799363
De Donno,Vito Ciancimino,0.80224967
De Donno...,Giuseppe De Donno,0.847681
De Donno...,Marcello De Donno,0.85545164
De Donno...,Giuliana De Donno,0.8490367
De Donno...,Oronzio De Donno,0.82923865
De Donno...,Leoluca Bagarella,0.8177022
De Donno...,Leonardo Donno,0.7983104
De Donno...,Paolo Borsellino,0.7923815
De Donno...,Vito Ciancimino,0.80545855
De Micheli,Paola De Micheli,0.95356333
De Micheli,Marianna De Micheli,0.95892304
De Micheli,Mario De Micheli,0.95524764
De Micheli,Alighiero De Micheli,0.93779874
De Micheli,Nostradamus,0.86698985
De Micheli,Nataniela De Micheli,0.9115173
De Micheli,Maria Pierina De Micheli,0.93261904
De Micheli,Giulio De Micheli,0.95337814
De Micheli,Mario De Micheli (calciatore),0.90877557
Demicheli,Tulio Demicheli,0.7696974
Demicheli,Alberto Demicheli,0.9108989
Demicheli,João Mário,0.84405917
Demicheli,Barbara Bouchet,0.80480886
Demicheli,Pier Paolo Capponi,0.78076357
Demicheli,George Hilton,0.8597495
Denis Matveev,Denis Matveev,1.0000002
Di Battista,Giovanni Battista,0.93090284
Di Battista,Alessandro Di Battista,0.92883784
Di Battista,Giovanni Battista Pergolesi,0.88704276
Di Battista,Giambattista Tiepolo,0.8074389
Di Battista,Leon Battista Alberti,0.8720416
Di Battista,Giovanni Battista Piranesi,0.88196725
Di Maio,Luigi Di Maio,0.942749
Di Maio,Salvatore Di Maio,0.9467772
Di Maio,Sebastien De Maio,0.9162663
Di Maio,Oscar Di Maio (1959),0.9023961
Di Maio,Olimpia Di Maio,0.90280795
Di Maio,Gaspare Di Maio,0.93347764
"Di Maio

",Luigi Di Maio,0.942749
"Di Maio

",Salvatore Di Maio,0.9467772
"Di Maio

",Sebastien De Maio,0.9162663
