s,o,entity
odang_person_4778921,P108,Q1136766
odang_person_4162641,P106,Q36180
odang_person_6076687,P569,1973
odang_person_3924425,P106,Q177220
odang_person_8296229,P21,Q6581072
odang_person_6076377,P103,Q652
odang_person_7165335,P22,Q4255860
odang_person_4794382,P106,Q28389
odang_person_8372530,P19,Q13437
odang_person_3584791,P106,Q639669
odang_person_7176320,P166,Q1059569
odang_person_5981927,P1412,Q652
odang_person_3609490,P463,Q2995361
odang_person_4777859,P27,Q183
odang_person_9009,P20,Q2044
Q183,label,Germania
odang_person_4785694,P40,Q16619082
Q18959978,label,Maria Buccellato
odang_person_8361017,P106,Q36834
odang_person_5305938,P6886,Q652
Q14924303,label,Forza Italia
odang_person_2391689,P39,Q20792347
odang_person_84797,P166,Q12201477
odang_person_3584621,P166,Q2469017
odang_person_7164960,P20,Q64
odang_person_1210952,P27,Q38
Q10519151,label,socio onorario
Q53937346,label,Complesso monumentale delle Murate
Q954126,label,Gian Giacomo Caprotti
odang_person_2471906,P106,Q33999
odang_person_1197390,P19,Q746820
odang_person_8368716,P569,283
odang_person_6073564,P22,Q6999716
Q2690319,label,Salvatore Bonanno
odang_person_4778076,P551,Q3360875
odang_person_4784643,P1412,Q1321
odang_person_8373851,P1412,Q652
odang_person_6079053,P569,1968
odang_person_4777856,P108,Q2648854
odang_person_8360988,P937,Q220
Q96374988,label,Premio Martinetto
odang_person_7165071,P106,Q12038843
odang_person_3584791,P20,Q1241308
odang_person_3600372,P21,Q6581072
odang_person_2391475,P103,Q1860
odang_person_9334,P40,Q257579
odang_person_84797,P106,Q599151
odang_person_1220118,P21,Q6581097
Q2399167,label,ordine dei Pahlavi
odang_person_1306862,P102,Q47729
odang_person_5971244,P945,Q157608
odang_person_6079053,P19,Q220
Q185493,label,ordine di Lenin
Q101744,label,Verdello
odang_person_5971462,P25,Q2368906
odang_person_4786799,P3373,Q159798
odang_person_8465787,P106,Q2526255
odang_person_2412835,P106,Q4610556
odang_person_8399417,P39,Q19969187
odang_person_8361289,P106,Q36834
odang_person_2501569,P27,Q38
odang_person_8366960,P106,Q36834
Q897317,label,viticoltore
odang_person_2429007,P21,Q6581097
odang_person_4778921,P463,Q44687
odang_person_1792026,P551,Q490
odang_person_8384962,P119,Q207486
Q28389,label,sceneggiatore
odang_person_4778023,P39,Q26869648
odang_person_5971032,P551,Q90
odang_person_8361107,P1412,Q1860
odang_person_3584673,P106,Q486748
Q2464997,label,Caterina Visconti
odang_person_3593635,P106,Q10798782
odang_person_7164969,P106,Q36834
odang_person_2392575,P106,Q193391
odang_person_4785694,P166,Q14763384
odang_person_5098690,P21,Q6581097
odang_person_106474,P19,Q2044
odang_person_4885616,P1412,Q652
odang_person_7164960,P39,Q17856046
odang_person_8395364,P21,Q6581072
Q315863,label,Governo Merkel I
Q1126046,label,Congressional Space Medal of Honor
Q544264,label,Denijs Calvaert
Q2095524,label,Indian National Science Academy
Q3336666,label,Nathalie Rheims
odang_person_4777856,P106,Q15949613
odang_person_1197450,P166,Q13452528
odang_person_363,P106,Q82594
odang_person_6079483,P27,Q38
