n,name
http://www.wikidata.org/entity/Q2134463,Raşit
http://www.wikidata.org/entity/Q220546,Frank
http://www.wikidata.org/entity/Q2290783,Siva
http://www.wikidata.org/entity/Q2286977,Simas
http://www.wikidata.org/entity/Q221978,Bernhard
http://www.wikidata.org/entity/Q2140291,Reinaldo
http://www.wikidata.org/entity/Q364977,Adolfo
http://www.wikidata.org/entity/Q1295217,Fidelio
http://www.wikidata.org/entity/Q2293011,Tarō
http://www.wikidata.org/entity/Q2294349,Slobodan
http://www.wikidata.org/entity/Q2292487,Skirmantas
http://www.wikidata.org/entity/Q364943,Adolfas
http://www.wikidata.org/entity/Q2140190,Reimar
http://www.wikidata.org/entity/Q370292,Oleg
http://www.wikidata.org/entity/Q2145752,Lomme
http://www.wikidata.org/entity/Q2284706,Sigfús
http://www.wikidata.org/entity/Q2284850,Sigitas
http://www.wikidata.org/entity/Q2140988,Torbjörn
http://www.wikidata.org/entity/Q368314,Carles
http://www.wikidata.org/entity/Q1295762,Efe
http://www.wikidata.org/entity/Q365967,Adolphus
http://www.wikidata.org/entity/Q2143867,Tristan
http://www.wikidata.org/entity/Q2142900,Remeco
http://www.wikidata.org/entity/Q225020,Diomede
http://www.wikidata.org/entity/Q1295465,Eero
http://www.wikidata.org/entity/Q366030,Adomas
http://www.wikidata.org/entity/Q367122,Gaius
http://www.wikidata.org/entity/Q2294971,Constant
http://www.wikidata.org/entity/Q2148789,Ricci
http://www.wikidata.org/entity/Q2148234,Bram
http://www.wikidata.org/entity/Q2290101,Siro
http://www.wikidata.org/entity/Q2147259,Reza
http://www.wikidata.org/entity/Q1297808,Egidijus
http://www.wikidata.org/entity/Q2291107,Sjut
http://www.wikidata.org/entity/Q2156163,Robby
http://www.wikidata.org/entity/Q2303971,Soufiane
http://www.wikidata.org/entity/Q222412,Gaetan
http://www.wikidata.org/entity/Q370731,August
http://www.wikidata.org/entity/Q225099,Saburo
http://www.wikidata.org/entity/Q2303858,Sotiris
http://www.wikidata.org/entity/Q1297743,Gero
http://www.wikidata.org/entity/Q1297491,Simonas
http://www.wikidata.org/entity/Q226904,Zoticus
http://www.wikidata.org/entity/Q1303231,Lauri
http://www.wikidata.org/entity/Q1302665,Eido
http://www.wikidata.org/entity/Q2300499,Boyan
http://www.wikidata.org/entity/Q2297546,Cas
http://www.wikidata.org/entity/Q227327,Zsolt
http://www.wikidata.org/entity/Q2307004,Joakim
http://www.wikidata.org/entity/Q372048,Luiz Carlos
http://www.wikidata.org/entity/Q225898,Jagiełło
http://www.wikidata.org/entity/Q2159479,Wiro
http://www.wikidata.org/entity/Q2304036,Souleymane
http://www.wikidata.org/entity/Q1303426,Syriusz
http://www.wikidata.org/entity/Q1303610,Szókratész
http://www.wikidata.org/entity/Q1304070,Eilfried
http://www.wikidata.org/entity/Q2153208,Rimas
http://www.wikidata.org/entity/Q2153185,Rimantas
http://www.wikidata.org/entity/Q1298609,Szilárd
http://www.wikidata.org/entity/Q238771,Gervasio
http://www.wikidata.org/entity/Q376340,Narciso
http://www.wikidata.org/entity/Q376265,Mamoru
http://www.wikidata.org/entity/Q2151888,Ridvan
http://www.wikidata.org/entity/Q2153165,Rimandas
http://www.wikidata.org/entity/Q373257,Boleslaw
http://www.wikidata.org/entity/Q1300961,Augustine
http://www.wikidata.org/entity/Q2305904,Aldo
http://www.wikidata.org/entity/Q375094,Rostam
http://www.wikidata.org/entity/Q1299836,Ehregott
